species	taxid	in_refseq_protein	total	NP_	XP_	WP_	YP_	OTHER	XP_ratio
Neisseria macacae	496	YES	246	0	0	246	0	0	0.0000
Psychrobacter	497	YES	72160	0	0	72160	0	0	0.0000
Psychrobacter immobilis	498	YES	24214	0	0	24214	0	0	0.0000
Thermomicrobium	499	YES	554	0	0	554	0	0	0.0000
Thermomicrobium roseum	500	YES	2002	0	0	2002	0	0	0.0000
Kingella denitrificans	502	YES	15102	0	0	15102	0	0	0.0000
Kingella kingae	504	YES	32260	0	0	32260	0	0	0.0000
Kingella oralis	505	YES	23446	0	0	23446	0	0	0.0000
Alcaligenaceae	506	YES	3274	0	0	3274	0	0	0.0000
Alcaligenes	507	YES	30822	0	0	30822	0	0	0.0000
Alcaligenes faecalis	511	YES	55349	0	0	55349	0	0	0.0000
Alcaligenes sp.	512	YES	850	0	0	850	0	0	0.0000
Bordetella	517	YES	14934	0	0	14934	0	0	0.0000
Bordetella bronchiseptica	518	YES	53925	0	0	53925	0	0	0.0000
Bordetella parapertussis	519	YES	5342	0	0	5342	0	0	0.0000
Bordetella pertussis	520	YES	60463	0	0	60463	0	0	0.0000
Bordetella avium	521	YES	11409	0	0	11409	0	0	0.0000
Acidiphilium	522	YES	14180	0	0	14180	0	0	0.0000
Acidiphilium angustum	523	YES	552	0	0	552	0	0	0.0000
Acidiphilium cryptum	524	YES	1253	0	0	1253	0	0	0.0000
Acidocella facilis	525	YES	5582	0	0	5582	0	0	0.0000
Acidiphilium rubrum	526	YES	806	0	0	806	0	0	0.0000
Acidiphilium sp.	527	YES	18450	0	0	18450	0	0	0.0000
Ochrobactrum	528	YES	6050	0	0	6050	0	0	0.0000
Brucella anthropi	529	YES	40707	0	0	40707	0	0	0.0000
Polaribacter irgensii	531	YES	2340	0	0	2340	0	0	0.0000
Beijerinckia	532	YES	5	0	0	5	0	0	0.0000
Beijerinckia indica	533	YES	3792	0	0	3792	0	0	0.0000
Chromobacterium	535	YES	27482	0	0	27482	0	0	0.0000
Chromobacterium violaceum	536	YES	52874	0	0	52874	0	0	0.0000
Iodobacter fluviatilis	537	YES	7981	0	0	7981	0	0	0.0000
Eikenella	538	YES	6439	0	0	6439	0	0	0.0000
Eikenella corrodens	539	YES	27558	0	0	27558	0	0	0.0000
Eikenella sp.	540	YES	1747	0	0	1747	0	0	0.0000
Zymomonas	541	YES	171	0	0	171	0	0	0.0000
Zymomonas mobilis	542	YES	17811	0	0	17811	0	0	0.0000
Enterobacteriaceae	543	YES	418180	0	0	418180	0	0	0.0000
Citrobacter	544	YES	273713	0	0	273713	0	0	0.0000
Citrobacter koseri	545	YES	62348	0	0	62348	0	0	0.0000
Citrobacter freundii	546	YES	262938	0	0	262938	0	0	0.0000
Enterobacter	547	YES	376209	0	0	376209	0	0	0.0000
Klebsiella aerogenes	548	YES	266806	0	0	266806	0	0	0.0000
Pantoea agglomerans	549	YES	256895	0	0	256895	0	0	0.0000
Enterobacter cloacae	550	YES	258400	0	0	258400	0	0	0.0000
Erwinia	551	YES	26870	0	0	26870	0	0	0.0000
Erwinia amylovora	552	YES	27157	0	0	27157	0	0	0.0000
Pantoea ananatis	553	YES	121635	0	0	121635	0	0	0.0000
Pectobacterium carotovorum	554	YES	78448	0	0	78448	0	0	0.0000
Dickeya chrysanthemi	556	YES	19310	0	0	19310	0	0	0.0000
Erwinia sp.	558	YES	7703	0	0	7703	0	0	0.0000
Escherichia	561	YES	149014	0	0	149014	0	0	0.0000
Escherichia coli	562	YES	6144478	0	0	6144478	0	0	0.0000
Shimwellia blattae	563	YES	3816	0	0	3816	0	0	0.0000
Escherichia fergusonii	564	YES	72689	0	0	72689	0	0	0.0000
Atlantibacter hermannii	565	YES	77398	0	0	77398	0	0	0.0000
Pseudescherichia vulneris	566	YES	18921	0	0	18921	0	0	0.0000
Hafnia	568	YES	12948	0	0	12948	0	0	0.0000
Hafnia alvei	569	YES	60219	0	0	60219	0	0	0.0000
Klebsiella	570	YES	445278	0	0	445278	0	0	0.0000
Klebsiella oxytoca	571	YES	141271	0	0	141271	0	0	0.0000
Klebsiella pneumoniae	573	YES	2367484	0	0	2367484	0	0	0.0000
Klebsiella planticola	575	YES	58443	0	0	58443	0	0	0.0000
Klebsiella sp.	576	YES	3793	0	0	3793	0	0	0.0000
Klebsiella terrigena	577	YES	61384	0	0	61384	0	0	0.0000
Kluyvera	579	YES	14253	0	0	14253	0	0	0.0000
Kluyvera cryocrescens	580	YES	23237	0	0	23237	0	0	0.0000
Morganella	581	YES	15090	0	0	15090	0	0	0.0000
Morganella morganii	582	YES	271660	0	0	271660	0	0	0.0000
Proteus	583	YES	64234	0	0	64234	0	0	0.0000
Proteus mirabilis	584	YES	219375	0	0	219375	0	0	0.0000
Proteus vulgaris	585	YES	27975	0	0	27975	0	0	0.0000
Providencia	586	YES	141154	0	0	141154	0	0	0.0000
Providencia rettgeri	587	YES	76692	0	0	76692	0	0	0.0000
Providencia stuartii	588	YES	45810	0	0	45810	0	0	0.0000
Providencia sp.	589	YES	12261	0	0	12261	0	0	0.0000
Salmonella	590	YES	138840	0	0	138840	0	0	0.0000
Salmonella sp.	599	YES	371	0	0	371	0	0	0.0000
Serratia	613	YES	334300	0	0	334300	0	0	0.0000
Serratia liquefaciens	614	YES	81346	0	0	81346	0	0	0.0000
Serratia marcescens	615	YES	418038	0	0	418038	0	0	0.0000
Serratia sp. (in: enterobacteria)	616	YES	12203	0	0	12203	0	0	0.0000
Serratia odorifera	618	YES	7033	0	0	7033	0	0	0.0000
Shigella	620	YES	19799	0	0	19799	0	0	0.0000
Shigella boydii	621	YES	28714	0	0	28714	0	0	0.0000
Shigella dysenteriae	622	YES	17939	0	0	17939	0	0	0.0000
Shigella flexneri	623	YES	81325	0	0	81325	0	0	0.0000
Shigella sonnei	624	YES	98548	0	0	98548	0	0	0.0000
Xenorhabdus	626	YES	17332	0	0	17332	0	0	0.0000
Xenorhabdus nematophila	628	YES	10483	0	0	10483	0	0	0.0000
Yersinia	629	YES	47858	0	0	47858	0	0	0.0000
Yersinia enterocolitica	630	YES	175954	0	0	175954	0	0	0.0000
Yersinia intermedia	631	YES	33377	0	0	33377	0	0	0.0000
Yersinia pestis	632	YES	70356	0	0	70356	0	0	0.0000
Yersinia pseudotuberculosis	633	YES	32334	0	0	32334	0	0	0.0000
Yersinia bercovieri	634	YES	15726	0	0	15726	0	0	0.0000
Edwardsiella	635	YES	6330	0	0	6330	0	0	0.0000
Edwardsiella tarda	636	YES	46671	0	0	46671	0	0	0.0000
Arsenophonus	637	YES	3444	0	0	3444	0	0	0.0000
Arsenophonus nasoniae	638	YES	19705	0	0	19705	0	0	0.0000
Vibrionaceae	641	YES	1769	0	0	1769	0	0	0.0000
Aeromonas	642	YES	353654	0	0	353654	0	0	0.0000
Aeromonas hydrophila	644	YES	358555	0	0	358555	0	0	0.0000
Aeromonas salmonicida	645	YES	180355	0	0	180355	0	0	0.0000
Aeromonas sobria	646	YES	36791	0	0	36791	0	0	0.0000
